case,GPU_NO,Runtime
case31,2,2302.12
case31,2,2302.27
case31,2,2297.16
case31,2,2296.83
case31,2,2293.29
case31,2,2291.85
case31,2,2290.76
case31,2,2289.65
case31,2,2290.22
case31,2,2290.19
case31,2,2288.85
case31,2,2288.38
case31,2,2289.51
case31,2,2288.65
case31,2,2289.35
case31,2,2284.27
case31,2,2286.05
case31,2,2284.1
case31,2,2285.4
case31,2,2281.57
case31,2,2283.2
case31,2,2282.91
case31,2,2279.01
case31,2,2278.88
case31,2,2277.03
case31,2,2275.45
case31,2,2277.75
case31,2,2275.82
case31,2,2273.46
case31,2,2275.09
case31,2,2272.43
case31,2,2273.65
case31,2,2272.9
case31,2,2273.81
case31,2,2274.66
case31,2,2274.79
case31,2,2273.87
case31,2,2272.67
case31,2,2273.37
case31,2,2273.36
case31,2,2273.07
case31,2,2275.18
case31,2,2273.9
case31,2,2274.4
case31,2,2272.22
case31,2,2272.45
case31,2,2272.41
case31,2,2270.4
case31,2,2272.92
case31,2,2271.65
case31,2,2273.33
case31,2,2270.86
case31,2,2272.23
case31,2,2274.26
case31,2,2271.53
case31,2,2274.62
case31,2,2272.72
case31,2,2273.85
case31,2,2271.42
case31,2,2271.47
case31,2,2273.46
case31,2,2272.4
case31,2,2272.97
case27,0,2247.84
case27,0,2263.34
case27,0,2266.6
case27,0,2267.26
case27,0,2266.02
case27,0,2283.82
case27,0,2288.87
case27,0,2290.74
case27,0,2288.7
case27,0,2303.99
case27,0,2305.8
case27,0,2308.01
case27,0,2309.9
case27,0,2313.53
case27,0,2327.32
case27,0,2329.17
case27,0,2329.59
case27,0,2331.2
case27,0,2331.53
case27,0,2333.43
case27,0,2334.88
case27,0,2336.85
case27,0,2339.54
case27,0,2341.2
case27,0,2342.26
case27,0,2343.4
case27,0,2343.74
case27,0,2343.42
case27,0,2344.05
case27,0,2344.12
case27,0,2342.29
case27,0,2340.69
case27,0,2340.08
case27,0,2338.57
case27,0,2336.96
case27,0,2336.77
case27,0,2336.75
case27,0,2337.07
case27,0,2337.26
case27,0,2337.9
case27,0,2337.26
case27,0,2337.18
case27,0,2337.54
case27,0,2337.44
case27,0,2335.81
case27,0,2336.33
case27,0,2335.21
case27,0,2335.69
case27,0,2336.45
case27,0,2335.42
case27,0,2335.06
case27,0,2335.78
case27,0,2335.97
case27,0,2336.11
case27,0,2336.15
case27,0,2335.87
case27,0,2334.94
case27,0,2333.9
case27,0,2336.78
case27,0,2334.79
case27,0,2335.1
case27,0,2332
case27,0,2334.09
case27,0,2334.55
case27,0,2333.36
case27,0,2334.1
case27,0,2333
case27,0,2332.64
case27,0,2334.27
case27,0,2333.7
case27,0,2332.14
case27,0,2334.77
case27,0,2330.49
case27,0,2335.06
case27,0,2333.69
case27,0,2334.29
case27,0,2336.46
case27,0,2331.2
case27,0,2328.05
case27,0,2333.08
case27,0,2333
case27,0,2332.39
case27,0,2333.24
case27,0,2333.81
case27,0,2331.68
case27,0,2335.52
case27,0,2334.1
case27,0,2334.08
case27,0,2334.42
case27,0,2334.15
case27,0,2331.7
case27,0,2331.28
case27,0,2334.76
case27,0,2334.03
case27,0,2335.73
case27,0,2334.31
case27,0,2332.49
case27,0,2332.92
case27,0,2333.28
case27,0,2334.07
case27,0,2286.41
case27,0,2290.96
case27,0,2291.99
case27,0,2292.36
case27,0,2296
case27,0,2300.45
case27,0,2303.55
case27,0,2308.98
case27,0,2309.9
case27,0,2310.59
case27,0,2312.52
case27,0,2313.57
case27,0,2313.09
case27,0,2313.3
case27,0,2314.06
case27,0,2312.45
case27,0,2313.67
case27,0,2313.36
case27,0,2314.09
case27,0,2312.74
case27,0,2313.52
case27,0,2313.46
case27,0,2313.53
case27,0,2314.17
case27,0,2314.31
case27,0,2313.16
case27,0,2314.9
case27,0,2313.86
case27,0,2314.34
case27,0,2313.11
case27,0,2314.92
case27,0,2314.96
case27,0,2315.12
case27,0,2313.72
case27,0,2315.89
case27,0,2314.46
case27,0,2314.6
case27,0,2315.19
case27,0,2315.18
case27,0,2315.55
case27,0,2316.28
case27,0,2315.31
case27,0,2315.09
case27,0,2315.61
case27,0,2315.9
case27,0,2314.31
case27,0,2330.25
case27,0,2330.87
case27,0,2330.92
case27,0,2331.08
case27,0,2331.04
case27,0,2331.05
case27,0,2331
case27,0,2331.29
case27,0,2330.99
case27,0,2331.49
case27,0,2330.79
case27,0,2331.36
case27,0,2330.96
case27,0,2330.69
case27,0,2330
case27,0,2329.47
case27,0,2329.41
case27,0,2329.87
case27,0,2330.19
case27,0,2330.58
case27,0,2330.95
case27,0,2331.15
case27,0,2329.31
case27,0,2329.11
case27,0,2329.84
case27,0,2329.41
case27,0,2330.43
case27,0,2330.47
case27,0,2330.6
case27,0,2329.55
case27,0,2329.9
case27,0,2329.29
case27,0,2329.8
case27,0,2330.2
case27,0,2330.18
case27,0,2330.29
case27,0,2330.5
case27,0,2330.79
case27,0,2329.26
case27,0,2328.93
case27,0,2328.97
case27,0,2328.98
case27,0,2329.47
case27,0,2329.81
case27,0,2330.11
case27,0,2328.08
case27,0,2330.49
case27,0,2328.41
case27,0,2330.18
case27,0,2328.64
case27,0,2329.42
case27,0,2329.58
case27,0,2329.1
case27,0,2326.03
case23,2,2284.31
case23,2,2287.76
case23,2,2288.67
case23,2,2291.16
case23,2,2297.05
case23,2,2297.01
case23,2,2300.94
case23,2,2308.58
case23,2,2308.81
case23,2,2308.49
case23,2,2310.66
case23,2,2311.28
case23,2,2310.87
case23,2,2310.85
case23,2,2311.91
case23,2,2312.31
case23,2,2312.74
case23,2,2313.61
case23,2,2311.83
case23,2,2312.65
case23,2,2312.82
case23,2,2313.6
case23,2,2313.92
case23,2,2314.16
case23,2,2314.38
case23,2,2314.98
case23,2,2315.48
case23,2,2314.15
case23,2,2314.56
case23,2,2314.78
case23,2,2313.94
case23,2,2314.29
case23,2,2314.05
case23,2,2312.8
case23,2,2315.24
case23,2,2315.73
case23,2,2313.68
case23,2,2314.97
case23,2,2314.6
case23,2,2314.9
case23,2,2315.73
case23,2,2314.63
case23,2,2314.54
case23,2,2314.5
case23,2,2315.6
case23,2,2313.14
case23,2,2315.23
case23,2,2314.24
case23,2,2314.05
case23,2,2314.4
case23,2,2316.32
case23,2,2316.15
case23,2,2316.56
case23,2,2314.97
case23,2,2314.7
case23,2,2315.94
case23,2,2315.63
case23,2,2314.5
case23,2,2314.95
case23,2,2315.13
case23,2,2315.68
case23,2,2317.9
case23,2,2314.52
case23,2,2314.91
case23,2,2314.98
case23,2,2317.2
case23,2,2316.01
case23,2,2317.87
case23,2,2315.67
case23,2,2317.09
case23,2,2316.64
case23,2,2317.48
case23,2,2316.01
case23,2,2317.45
case23,2,2316.37
case23,2,2316.74
case23,2,2317.23
case23,2,2314.98
case23,2,2315.26
case23,2,2314.9
case23,2,2315.75
case23,2,2317.24
case23,2,2314.82
case23,2,2315.38
case23,2,2315
case23,2,2315
case23,2,2315.35
case23,2,2314.76
case23,2,2314.81
case23,2,2313.38
case23,2,2312.18
case23,2,2312.23
case23,2,2312.57
case23,2,2313.17
case23,2,2310.48
case23,2,2311.16
case23,2,2311.66
case23,2,2311.97
case23,2,2310.95
case23,2,2311.57
case23,2,2263.74
case23,2,2277.34
case23,2,2285.78
case23,2,2288.07
case23,2,2288.69
case23,2,2287.97
case23,2,2289.24
case23,2,2287.96
case23,2,2290.07
case23,2,2290.81
case23,2,2291.2
case23,2,2292.55
case23,2,2293.02
case23,2,2296.94
case23,2,2298.51
case23,2,2300.51
case23,2,2297.09
case23,2,2306.34
case23,2,2303.91
case23,2,2309.08
case23,2,2307.64
case23,2,2308.72
case23,2,2310.5
case23,2,2311.54
case23,2,2308.6
case23,2,2311.12
case23,2,2309.94
case23,2,2310.9
case23,2,2311.22
case23,2,2310.66
case23,2,2311.18
case23,2,2312.24
case23,2,2310.95
case23,2,2310.87
case23,2,2311.45
case23,2,2312.18
case23,2,2311.64
case23,2,2310.29
case23,2,2311.19
case23,2,2311.64
case23,2,2312.02
case23,2,2311.97
case23,2,2311.8
case23,2,2312.2
case23,2,2312.4
case23,2,2312.73
case23,2,2313.3
case23,2,2311.89
case23,2,2311.86
case23,2,2312.72
case23,2,2313.33
case23,2,2312.93
case23,2,2313.57
case23,2,2311.82
case23,2,2312.43
case23,2,2312.37
case23,2,2313.29
case23,2,2311.45
case23,2,2312.22
case23,2,2312.34
case23,2,2312.79
case23,2,2311.58
case23,2,2311.77
case23,2,2312.49
case23,2,2312.66
case23,2,2312.17
case23,2,2313.76
case23,2,2312.4
case23,2,2312.81
case23,2,2312.95
case23,2,2313.84
case23,2,2313.72
case23,2,2312.84
case23,2,2312.77
case23,2,2313.28
case23,2,2313.31
case23,2,2312.27
case23,2,2312.37
case23,2,2312.22
case23,2,2312.97
case23,2,2311.92
case23,2,2311.95
case23,2,2312.49
case23,2,2313.44
case23,2,2313.19
case23,2,2313.27
case23,2,2312.42
case23,2,2312.04
case23,2,2312.85
case23,2,2313.12
case23,2,2311.82
case23,2,2311.94
case23,2,2312.78
case23,2,2311.29
case23,2,2313.12
case23,2,2312.36
case23,2,2312.92
case23,2,2313.26
case23,2,2311.81
case23,2,2311.92
case23,2,2284.9
case23,2,2288.03
case23,2,2288.29
case23,2,2290.32
case23,2,2296.65
case23,2,2295.06
case23,2,2295.52
case23,2,2296.22
case23,2,2302.18
case23,2,2302.13
case23,2,2308.22
case23,2,2307.35
case23,2,2308.16
case23,2,2310.49
case23,2,2311.42
case23,2,2308.66
case23,2,2311.51
case23,2,2310.95
case23,2,2310.65
case23,2,2311.2
case23,2,2311.93
case23,2,2312.61
case23,2,2311.86
case23,2,2313.6
case23,2,2312.67
case23,2,2312.53
case23,2,2312.88
case23,2,2312.93
case23,2,2311.74
case23,2,2311.69
case23,2,2312.86
case23,2,2312.75
case23,2,2313.58
case23,2,2313.42
case23,2,2313.4
case23,2,2314.25
case23,2,2312.29
case23,2,2313.26
case23,2,2315.01
case23,2,2312.25
case23,2,2312.39
case23,2,2312.86
case23,2,2315.2
case23,2,2313.49
case23,2,2314.08
case23,2,2312.33
case23,2,2313.2
case23,2,2313.77
case23,2,2313.96
case23,2,2314.52
case23,2,2313.54
case23,2,2315.18
case23,2,2313.95
case23,2,2314.44
case23,2,2314.35
case23,2,2314.96
case23,2,2313.7
case23,2,2314.21
case23,2,2312.37
case23,2,2313.42
case23,2,2314.91
case23,2,2313.5
case23,2,2314.13
case23,2,2314.08
case23,2,2312.98
case23,2,2314.01
case23,2,2313.94
case23,2,2314.36
case23,2,2314
case23,2,2314.87
case23,2,2315.25
case23,2,2315.39
case23,2,2313.93
case23,2,2314.67
case23,2,2314.79
case23,2,2315.22
case23,2,2314.06
case23,2,2316.79
case23,2,2314.64
case23,2,2314.72
case23,2,2314.76
case23,2,2313.84
case23,2,2314.4
case23,2,2314.28
case23,2,2314.95
case23,2,2314.96
case23,2,2315.46
case23,2,2313.84
case23,2,2314.19
case23,2,2314.89
case23,2,2315.01
